STT,Tiêu chí,Điểm,Chi tiết,,,,,,,,,,
1,Giới thiệu bài toán,1.5,,,,,,,,,,,
,1,0.25,"Giới thiệu loại bài toán thuộc nhóm: lưu trữ, thu thập, trực quan, xử lý",,,,,,,,,,
,2,0.25,Loại dữ liệu,WEB,Database,,,,,,,,
,,,,Data analyst,Dataset,,,,,,,,
,3,0.75,Kích thước dữ liệu - dung lượng bộ nhớ cho xử lý,,,>4GB,0.25-kb,0.5-mb,0.75-GB,,,xx,x
,,,,so sánh tốc độ xử lý trong trường hợp máy chủ truyển thống và hệ thống cloud,,,,,,,,,
,4,0.25,"Liệt kê, Giới thiệu các thành phần sử dụng trong cloud thuộc nhóm nào? IaaS, PaaS, FaaS, SaaS",,,,,,,,,,
2,Cơ sở lý thuyết,1.5,,,,,,,,,,,
,1,0.5,Trình bày được cơ sở lý thuyết về định dạng lưu trữ,,,,,,,,,,
,,,,,Web - Visualize,Data base,,,,,,,
,,,,,Train model,Dataset -- Storage cloud??,,,,,,,
,2,0.5,Trình bày được cơ sở lý thuyết về thuật toán xử lý,,,,,,,,,,
,,,Xử lý luồng dữ liệu:,,"Web - luồng đi dữ liệu, logic của trang web",,,,,,,,
,,,,,DA - model - lý thuyết model,,,,,,,,
,3,0.5,Trình bày chi tiết các dịch vụ sử dụng cloud,,,,,,,,,,
3,Mô hình dữ liệu,2,,,,,,,,,,,
,1,0.5,Tốc độ cho phép đọc ghi,,,,,,,,,,
,2,0.5,Thiết lập luồng xử lý dữ liệu tự động ETL,,,WEB,data nhận từ client -- detect lưu trữ vào trong storage cloud,,,,,,
,,,,,,Data analyst,Collect data,,,,,,
,3,0.5,Đo độ trễ delay khi thiết lập server ở rùng region khác,,,,,,,,,,
,4,0.5,Các giải pháp thực hiện tối ưu hóa cho việc lưu trữ dữ liệu và cải thiện tốc độ đọc ghi dữ liệu từ vùng lưu trữ sang các ứng dụng,,,,,,,,,,
,5,,,,,,,,,,,,
4,Hiện thực phân tích/trực quan dữ liệu,3,"Có thể rơi vào 1 trong 3 trường hợp sau: Web, Trực quan dữ liệu, phân tích tiên đoán dữ liệu",,,,,,,,,,
,Web,1,"deploy trang web lên hệ thống cloud ít nhất có 4 trang: trang chủ, trang chi tiết, trang thêm vào giỏ hàng, trang liệt kê giỏ hàng",,,,,,,,,,
,,0.5,Triển khải hệ thống blue / green,,,,,,,,,,
,,1,"Triển khai 2 service: service đăng ký tài khoản người dùng, service mua sản phẩm - giao tiếp giữa 2 service",,,,,,,,,,
,,0.5,Sử dụng FaaS,Chức năng function trong azure,,,,,,,,,
,Trực quan dữ liệu,1,"Deploy 1 dashboard lên SaaS, ít nhất có 4 report: trang tổng quan, trang chi tiết, trang filer1, filter 2. Sử dụng các button, navigation để điều hướng giữa các report",,,,,,,,,,
,,,4 report - 0.75đ,,Navigation giữa các report - 0.25đ,,,,,,,,
,,0.5,Triển khai việc cập nhập dữ liệu tức thời từ mô hình dữ liệu lên dashboard,,,,,,,,,,
,,1,"Thực hiện các phương pháp bảo mật như chia sẽ dashboard đến người dùng xem, và ràng buộc từng nhóm người chỉ được xem một vài loại dữ liệu nhất định",,,,,,,,,,
,,0.5,Thực hiện Reponsive cho phép xem các dashboard lên mobile,,,,,,,,,,
,Phân tích dữ liệu,1,Hiện thực huấn luyện model trên tập dữ liệu,,,,,,,,,,
,,0.5,Cung cấp cơ chế API cho phép sử dụng model,,,,,,,,,,
,,1,Trực quan kết quả trên các tham số hoặc trên các loại model,,,,,,,,,,
,,0.5,VIết trang web sử dụng API của model: gửi request đến hệ thống cloud và nhận kết quả trả về đồng thời parse kết quả,,,,,,,,,,
5,Trình bày báo cáo & Thực hiện quản lý dự án trên môi trường điện toán đám mây,2,,,,,,,,,,,
,,0.5,Power Point báo cáo,,Theo định dạng báo cáo KLTN,,"Lỗi font chữ, chính tả, hình ảnh, số hình, số bảng biểu, tài liệu tham khảo, ...",,,,,,
,,0.5,Word báo cáo,,Theo định dạng báo cáo KLTN,,"Lỗi font chữ, chính tả, hình ảnh, số hình, số bảng biểu, tài liệu tham khảo, ...",,,,,,
,,0.5,Trình bày Power Point & demo,,,,,,,,,,
,,0.5,Quản lý dự án trên môi trường điện toán đám mây,,,,phân chia và các thành viên cùng làm trên 1 resource trên môi trường cloud,,,,,,
,,,,,,,"đối với các chủ đề làm offline thì chứng minh thông qua github - việc cộng tác các thành viên trong nhóm, có thể sử dụng các tool teamwork để thể hiện",,,,,,
,,,,,,,thông tin chi phí quotas,,,,,,
